new_tss	direction	original_average_count
1138159	-	115
1140619	-	32
1142434	-	84
1142605	-	63
1144067	-	22
1144490	-	25
1144566	-	17
1148259	-	991
1149321	-	28
1150301	-	36
1150730	-	21
1151627	-	68
1153411	-	155
1153724	-	44
1154942	-	19
1155569	-	24
1155806	-	18
1156663	-	28
1157851	-	39
1158742	-	164
1160438	-	61
1160730	-	27
1162451	-	22
1164841	-	57
1165507	-	609
1165685	-	631
1166345	-	21
1166915	-	541
1168830	-	38
1169285	-	781
1169434	-	399
1170666	-	36
1171465	-	32
1172059	-	40
1172075	-	15
1175305	-	38
1175525	-	37
1178126	-	84
1178864	-	41
1183872	-	71
1186828	-	112
1187328	-	109
1194583	-	22
1195950	-	155
1196122	-	281
1196169	-	40
1198530	-	101
1199414	-	692
1200387	-	102
1200606	-	33
1201819	-	25
1202102	-	32
1202960	-	37
1203254	-	31
1203277	-	51
1203924	-	18
1204356	-	56
1205967	-	2970
1206021	-	24
1206459	-	167
1208107	-	85
1210528	-	272
1210574	-	109
1210579	-	160
1212765	-	24
1214237	-	138
1215429	-	27
1220191	-	143
1220492	-	100
1221623	-	33
1223248	-	15
1225727	-	24
1228689	-	322
1229561	-	31
1230041	-	16
1231212	-	1125
1231296	-	40
1232319	-	158
1232411	-	20
1232718	-	20
1233953	-	218
1234361	-	86
1236100	-	1424
1236166	-	36
1238197	-	498
1238456	-	18
1239783	-	19
1241411	-	529
1242674	-	92
1243242	-	27
1246723	-	26
1247015	-	60
1251415	-	222
1251613	-	61
1252032	-	100
1252040	-	43
1253032	-	179
1254515	-	655
1254987	-	24
1261713	-	9437
1262717	-	51
1262785	-	30
1264330	-	40
1266262	-	25
1266618	-	29
1267035	-	276
1267118	-	31
1267354	-	46
1268572	-	93
1269014	-	92
1269963	-	465
1272166	-	490
1272172	-	10768
1272346	-	143
1274524	-	43
1274820	-	88
1275960	-	206
1275997	-	92
1276161	-	25
1277669	-	70
1278902	-	36
1279622	-	104
1281378	-	137
1281527	-	18
1282133	-	21
1284895	-	638
1286573	-	1182
1287079	-	30
1289531	-	62
1290246	-	20
1290410	-	28
1290632	-	31
1292100	-	3508
1293244	-	24
1294984	-	24
1296654	-	52
1296738	-	34
1298697	-	321
1298967	-	327
1298986	-	51
1300224	-	1069
1300247	-	40
1301099	-	106
1301261	-	17
1302897	-	1799
1303235	-	24
1303746	-	66
1304573	-	116
1305093	-	31
1306078	-	6804
1306199	-	803
1306772	-	184
1307436	-	21
1308797	-	141
1308893	-	22
1309012	-	34
1309159	-	22
1309262	-	26
1312277	-	65
1313308	-	305
1313633	-	68
1316692	-	59
1321264	-	730
1321269	-	58
1321900	-	32
1325692	-	3074
1326877	-	77
1327518	-	1422
1328938	-	29
1329311	-	132
1332988	-	29
1333919	-	51
1334104	-	67
1334569	-	64
1334918	-	29
1336639	-	23
1337575	-	63
1338519	-	2059
1338687	-	205
1338956	-	383
1340614	-	31
1342985	-	196
1344144	-	47
1345166	-	671
1347111	-	80
1348737	-	288
1348987	-	69
1349129	-	33
1352209	-	61
1354069	-	37
1354780	-	31
1355365	-	66
1355613	-	31
1355669	-	21
1356188	-	75
1357662	-	66
1359450	-	106
1359583	-	45
1359852	-	38
1361262	-	31
1363367	-	265
1364183	-	193
1364765	-	23
1364936	-	44
1367023	-	43
1368721	-	83
1368823	-	19
1370813	-	79
1371231	-	233
1371501	-	500
1371699	-	481
1371772	-	72
1372929	-	293
1374276	-	1086
1376174	-	168
1376228	-	82
1376832	-	220
1376986	-	21
1378750	-	44
1380398	-	73
1381145	-	55
1382117	-	23
1383083	-	193
1385504	-	46
1387553	-	46
1388658	-	271
1389250	-	183
1389683	-	71
1390151	-	274
1393148	-	237
1393349	-	44
1393423	-	23
1394009	-	236
1394099	-	262
1394567	-	61
1395009	-	125
1397551	-	31
1399016	-	36
1399901	-	128
1400395	-	931
1401359	-	15
1403153	-	12
1404610	-	58
1406090	-	176
1406396	-	23
1406447	-	41
1407353	-	139
1408849	-	20
1409939	-	162
1410378	-	254
1411775	-	25
1413230	-	864
1415871	-	110
1415871	-	302
1415943	-	63
1417405	-	91
1417570	-	19
1419282	-	166
1419782	-	520
1422403	-	190
1424056	-	42
1425950	-	30
1426111	-	30
1430906	-	61
1431256	-	14
1433536	-	213
1434093	-	16
1435363	-	40
1437143	-	105
1437573	-	18
1437937	-	28
1438218	-	17
1438745	-	32
1439231	-	47
1440079	-	199
1440702	-	28
1441493	-	37
1441646	-	27
1444372	-	34
1444906	-	34
1445425	-	57
1446298	-	51
1447024	-	34
1448070	-	25
1449902	-	59
1454523	-	50
1454720	-	54
1455289	-	25
1456562	-	20
1456832	-	20
1457795	-	22
1460069	-	40
1465349	-	30
1467025	-	59
1467118	-	24
1469176	-	139
1469908	-	148
1470258	-	170
1470263	-	49
1479124	-	182
1479262	-	19
1480164	-	47
1480838	-	51
1481006	-	14
1482325	-	31
1482515	-	58
1482748	-	29
1484226	-	211
1484391	-	52
1485774	-	3552
1486922	-	373
1487482	-	17
1490013	-	39
1490416	-	150
1491052	-	25
1492512	-	60
1494482	-	674
1495691	-	25
1496142	-	59
1498386	-	32
1498899	-	55
1500616	-	52
1501517	-	24
1502923	-	173
1503128	-	19
1503397	-	127
1506364	-	33
1508929	-	380
1508990	-	42
1509749	-	43
1509789	-	33
1512616	-	35
1513370	-	24
1514710	-	41
1515063	-	36
1515252	-	47
1517478	-	177
1518246	-	34
1518378	-	61
1520006	-	20
1520118	-	24
1521377	-	41
1521880	-	45
1523940	-	138
1524620	-	68
1526320	-	47
1528343	-	56
1528869	-	28
1529165	-	29
1530765	-	345
1531329	-	49
1531787	-	21
1531925	-	36
1532332	-	23
1533668	-	717
1533812	-	39
1535560	-	187
1536127	-	19
1537718	-	308
1537739	-	134
1538246	-	403
1538883	-	22
1539153	-	29
1540727	-	265
1542020	-	54
1542712	-	25
1543263	-	32
1543555	-	20
1545868	-	58
1547024	-	30
1547055	-	34
1547679	-	34
1548774	-	397
1550874	-	84
1551223	-	111
1551327	-	47
1552523	-	152
1552746	-	118
1557658	-	102
1561389	-	80
1561631	-	56
1562784	-	27
1565095	-	23
1566601	-	51
1569823	-	28
1569917	-	17
1570641	-	32
1570975	-	150
1572922	-	103
1572947	-	32
1574764	-	149
1574773	-	22172
1575553	-	39
1575819	-	35
1575914	-	33
1576212	-	22
1576802	-	151
1577274	-	28
1579939	-	24
1580477	-	30
1581516	-	30
1582089	-	73
1582780	-	55
1584546	-	44
1584897	-	47
1585183	-	24
1586614	-	91
1588488	-	910
1589453	-	56
1594031	-	38
1594194	-	28
1595703	-	17
1595990	-	27
1596957	-	95
1597165	-	85
1597655	-	28
1597763	-	24
1598055	-	18
1599591	-	182
1600924	-	31
1603992	-	25
1604809	-	323
1605309	-	19
1606013	-	73
1606139	-	41
1607887	-	198
1608043	-	315
1609087	-	25
1609139	-	39
1610068	-	35
1611081	-	93
1611114	-	28
1613047	-	721
1613110	-	25
1613278	-	34
1613739	-	37
1614079	-	18
1614200	-	27
1615114	-	28
1616780	-	38
1616859	-	35
1617313	-	153
1617471	-	33
1619690	-	80
1621144	-	35
1622677	-	582
1622868	-	21
1623694	-	326
1626809	-	25
1627577	-	13
1628239	-	28
1628905	-	169
1630235	-	310
1630305	-	215
1630400	-	112
1634967	-	50
1635547	-	26
1638818	-	29
1639265	-	29
1639668	-	71
1640213	-	56
1640670	-	182
1640676	-	20
1642413	-	181
1644376	-	195
1644471	-	80
1645104	-	42
1645732	-	102
1646144	-	95
1646243	-	80
1655546	-	68
1656757	-	355
1658660	-	56
1659147	-	35
1659591	-	25
1660092	-	208
1660743	-	18
1665007	-	19
1666103	-	1163
1666613	-	16
1667996	-	71
1671313	-	49
1673337	-	42
1675091	-	24
1676892	-	728
1676929	-	30
1678652	-	143
1680468	-	68
1680925	-	79
1681125	-	23
1681972	-	437
1682243	-	38
1683280	-	15
1686170	-	18
1686707	-	20
1690216	-	177
1690397	-	205
1690502	-	91
1690815	-	110
1690861	-	110
1691298	-	15
1691881	-	60
1692187	-	35
1692527	-	41
1694340	-	59
1696622	-	65
1696635	-	45
1696734	-	25
1697816	-	580
1697977	-	150
1698045	-	107
1698108	-	42
1698741	-	28
1699679	-	372
1699720	-	71
1699822	-	38
1700077	-	21
1701608	-	49
1702935	-	340
1702945	-	36
1703009	-	23
1707112	-	39
1707453	-	38
1708033	-	47
1708658	-	97
1708787	-	31
1709398	-	27
1709607	-	31
1710690	-	56
1711161	-	48
1711338	-	45
1712069	-	25
1712965	-	29
1713352	-	45
1713736	-	65
1714369	-	85
1715048	-	44
1715873	-	42
1715957	-	29
1716752	-	16
1717618	-	159
1719847	-	20
1720932	-	36
1721712	-	65
1722303	-	22
1725390	-	40
1726551	-	35
1727471	-	47
1728532	-	63
1728882	-	50
1729276	-	67
1730023	-	34
1732472	-	21
1732573	-	39
1733561	-	62
1735090	-	33
1735294	-	26
1735539	-	11
1736006	-	40
1738223	-	47
1738679	-	55
1740736	-	42
1741899	-	113
1742165	-	58
1742383	-	14
1743278	-	38
1743861	-	28
1744377	-	45
1744842	-	90
1745824	-	58
1746200	-	102
1747745	-	36
1748020	-	15
1748769	-	35
1749892	-	527
1750013	-	23
1751615	-	37
1751804	-	40
1752139	-	47
1752472	-	31
1753401	-	46
1753721	-	87
1753949	-	31
1754113	-	29
1754406	-	19
1755543	-	32
1757019	-	35
1760998	-	30
1761418	-	27
1761515	-	16
1762537	-	34
1763622	-	30
1763633	-	40
1766455	-	37
1768124	-	31
1771076	-	35
1771607	-	70
1772673	-	37
1773015	-	26
1773212	-	96
1773839	-	247
1774728	-	844
1775169	-	92
1775315	-	97
1780636	-	29
1781280	-	57
1782734	-	923
1783248	-	49
1783955	-	26
1785546	-	103
1786580	-	148
1788497	-	184
1789703	-	56
1789843	-	85
1790192	-	32
1791998	-	13
1793899	-	285
1794714	-	397
1795169	-	45
1797151	-	96
1799516	-	507
1800102	-	39
1802561	-	58
1803284	-	66
1804152	-	36
1804410	-	35
1804664	-	25
1807769	-	253
1808604	-	18
1809347	-	30
1812520	-	35
1813273	-	39
1814755	-	56
1818477	-	23
1822277	-	131
1824436	-	31
1825935	-	719
1826578	-	166
1826583	-	171
1827952	-	676
1828104	-	39
1828519	-	26
1828610	-	33
1830568	-	561
1830909	-	548
1831728	-	51
1831836	-	32
1833537	-	58
1836095	-	399
1836660	-	71
1836903	-	402
1837411	-	126
1838019	-	56
1840765	-	21
1841535	-	61
1841892	-	36
1842315	-	179
1843649	-	128
1846445	-	33
1847035	-	19
1847669	-	49
1848447	-	1202
1849198	-	45
1849859	-	32
1851004	-	12
1851864	-	65
1852055	-	13
1852908	-	18
1855118	-	49
1855366	-	48
1855469	-	127
1855486	-	62
1857396	-	32
1858292	-	31
1858636	-	37
1859366	-	77
1859770	-	143
1859771	-	73
1859815	-	27
1860658	-	44
1862168	-	45
1862432	-	318
1865436	-	30
1867872	-	26
1870517	-	102
1873493	-	75
1875236	-	21
1875277	-	34
1881484	-	12
1881738	-	25
1887546	-	17
1888014	-	39
1888173	-	25
1890089	-	21
1890591	-	41
1891107	-	24
1892180	-	27
1893984	-	34
1894222	-	27
		
1895354	-	61
1898238	-	126
1898958	-	43
1899186	-	25
1899969	-	34
1901066	-	47
1901779	-	34
1901789	-	23
1903967	-	23
1904817	-	30
1905086	-	53
1905252	-	31
1906304	-	98
1906511	-	62
1906544	-	68
1907230	-	44
1909241	-	62
1910138	-	35
1911554	-	52
1912927	-	62
1915196	-	31
1921483	-	25
1921488	-	25
1922623	-	32
1922745	-	33
1923036	-	37
1923162	-	15
1925531	-	94
1925635	-	24
1927528	-	14
1928584	-	37
1929245	-	105
1929888	-	958
1931526	-	114
1931636	-	17
1932197	-	26
1933139	-	80
1933151	-	12
1933980	-	63
1934172	-	34
1934726	-	14
1935260	-	31
1935946	-	26
1938035	-	81
1938224	-	22
1939578	-	27
1943065	-	39
1947650	-	137
1950936	-	73
1951758	-	190
1953133	-	149
1954539	-	119
1955003	-	141
1955576	-	85
1957056	-	25
1957364	-	169
1958023	-	24
1959172	-	42
1959798	-	251
1960487	-	531
1960492	-	115
1961166	-	19
1961620	-	28
1962937	-	24
1963952	-	57
1965434	-	687
1965578	-	55
1965598	-	21
1966533	-	246
1967118	-	20
1968766	-	25
1970958	-	57
1971199	-	22
1972047	-	50
1972426	-	53
1972703	-	38
1973494	-	43
1975467	-	68
1975596	-	38
1975708	-	16
1975930	-	25
1976987	-	31
1977881	-	494
1978468	-	72
1979629	-	59
1979755	-	64
1984877	-	18
1985031	-	125
1986549	-	77
1987773	-	70
1988464	-	28
1989014	-	30
1989665	-	22
1991901	-	35
1992660	-	24
1993400	-	25
1993447	-	165
1994454	-	56
1994540	-	28
1995876	-	148
1997097	-	46
1998522	-	127
1998818	-	100
1998923	-	25
1999596	-	61
1999657	-	73
1999776	-	75
2004857	-	22
2007773	-	71
2010630	-	39
2012078	-	20
2012409	-	158
2012650	-	136
2012658	-	60
2014458	-	170
2014510	-	247
2014634	-	78
2014665	-	30
2015240	-	497
2015862	-	33
2016452	-	22
2017369	-	50
2017484	-	27
2019311	-	19
2021449	-	16
2021964	-	18
2023455	-	111
2024263	-	37
2024699	-	58
2024726	-	24
2025053	-	20
2026252	-	73
2026710	-	440
2027553	-	24
2028222	-	71
2030673	-	33
2031076	-	129
2031604	-	38
2032586	-	28
2033638	-	35
2033836	-	28
2033978	-	37
2034432	-	44
2037027	-	28
2039130	-	13
2039880	-	78
2040556	-	65
2040561	-	31
2040668	-	14
2041409	-	25
2044753	-	36
2045247	-	104
2045581	-	21
2045773	-	65
2046908	-	132
2047361	-	55
2047417	-	56
2048912	-	36
2049166	-	26
2050635	-	27
2050822	-	34
2052063	-	35
2052506	-	59
2052975	-	28
2054327	-	23
2054656	-	18
2055480	-	392
2056334	-	8218
2056349	-	96
2056349	-	86
2057034	-	28
2057228	-	26
2057751	-	25
2058610	-	87
2058641	-	49
2058721	-	40
2059009	-	28
2059310	-	35
2059332	-	45
2059968	-	50
2061180	-	55
2062756	-	628
2063248	-	29
2064367	-	33
2064765	-	67
2064771	-	18
2065438	-	22
2066663	-	40
2067331	-	43
2067736	-	44
2067757	-	23
2067772	-	12
2069532	-	52
2070414	-	80
2070443	-	42
2071882	-	34
2072514	-	18
2073770	-	18
2074405	-	37
2074788	-	58
2075028	-	50
2075238	-	16
2075251	-	19
2076231	-	27
2076982	-	20
2077941	-	410
2077954	-	45
2077954	-	58
2078212	-	20
2079813	-	196
2080657	-	29
2080749	-	13
2081682	-	19
2082512	-	120
2083324	-	35
2084433	-	59
2087007	-	164
2087135	-	140
2087919	-	216
2089562	-	70
2090513	-	66
2091091	-	26
2092229	-	120
2093705	-	51
2093763	-	39
2094156	-	75
2094490	-	75
2095252	-	111
2096629	-	2077
2096707	-	81
2097129	-	744
2098285	-	13
2099573	-	64
2101647	-	43
2101659	-	31
2102789	-	760
2103094	-	243
2104114	-	365
2104906	-	612
2105510	-	27
2105618	-	29
2106697	-	537
2109091	-	25
2109544	-	27
2111369	-	185
2112056	-	204
2113027	-	55
2113140	-	24
2114413	-	36
2116473	-	35
2117669	-	29
2119737	-	30
2120734	-	637
2121003	-	28
2121883	-	183
2123158	-	6872
2123164	-	38
2123556	-	19
2123906	-	128
2125096	-	1590
2125102	-	780
2125126	-	650
2128217	-	586
2128240	-	25
2128711	-	37
2130229	-	73
2131891	-	97
2132366	-	93
2133681	-	104
2134160	-	3787
2135908	-	3371
2135918	-	772
2136147	-	62
2136264	-	49
2136285	-	20
2137095	-	98
2138130	-	51
2138134	-	373
2138655	-	43
2139634	-	70
2141918	-	357
2142195	-	25
2142372	-	43
2142931	-	31
2144453	-	58
2144889	-	92
2145878	-	2223
2146841	-	393
2147640	-	276
2148405	-	599
2149200	-	35
2150281	-	47
2150822	-	22
2152402	-	62
2152903	-	761
2152906	-	196
2153641	-	42
2153769	-	22
2154052	-	39
2156599	-	536
2157318	-	124
2158089	-	519
2158317	-	53
2159141	-	179
2160300	-	178
2160912	-	45
2160982	-	67
2161207	-	37
2162161	-	31
2164176	-	34
2164409	-	28
2167804	-	33
2169993	-	56
2170148	-	25
2170293	-	57
2170694	-	90
2171576	-	788
2171759	-	55
2172331	-	28
2173099	-	43
2174075	-	26
2175212	-	39
2176197	-	47
2176357	-	53
2176995	-	301
2177057	-	25
2177219	-	26
2179498	-	910
2180292	-	40
2181262	-	49
2181828	-	564
2181913	-	57
2183260	-	39
2183305	-	32
2183522	-	29
2187197	-	24
2189064	-	14
2190270	-	419
2194030	-	34
2195213	-	896
2195836	-	212
2197597	-	66
2197601	-	50
2197646	-	23
2199108	-	28
2200494	-	256
2201318	-	36
2202118	-	28
2202955	-	127
2204232	-	520
2204783	-	79
2205556	-	199
2206875	-	106
2207054	-	64
2207488	-	35
2207930	-	22
2213343	-	51
2217795	-	29
2218412	-	62
2219259	-	151
2219548	-	62
2219562	-	23
2220026	-	19
2220689	-	33
2221152	-	17
2221661	-	30
2223341	-	94
2224157	-	1134
2224652	-	414
2225334	-	444
2225362	-	66
2226109	-	321
2227088	-	101
2227412	-	33
2228574	-	398
2228759	-	31
2229947	-	62
2230610	-	43
2231441	-	64
2231446	-	26
2232496	-	46
2233677	-	649
2234287	-	91
2234899	-	166
2235158	-	31
2237992	-	178
2238097	-	37
2238910	-	44
2238976	-	19
2242340	-	63
2243756	-	501
2243862	-	28
2245148	-	175
2247410	-	70
2247439	-	93
2247842	-	37
2248191	-	30
2250374	-	35
2251915	-	183
2252450	-	254
2252550	-	52
2252823	-	22
2254139	-	901
2256436	-	6433
2256607	-	142
2256720	-	35
2257476	-	21
2257795	-	23
2259308	-	68
2260170	-	365
2261782	-	31
2263080	-	123
2263635	-	56
2263939	-	43
2264674	-	36
2264908	-	31
2267110	-	63
2267510	-	185
2267639	-	69
2268265	-	45
2270248	-	88
2271833	-	36
2272570	-	16
2272953	-	50
2274516	-	63
2275946	-	32
2276289	-	28
2278969	-	1260
2278969	-	10248
2278983	-	17
2279477	-	40
2281090	-	201
2281757	-	41
2282467	-	70
2283720	-	167
2285208	-	25
2287168	-	22
2289117	-	152
2289254	-	232
2291198	-	134
2292993	-	70
2293237	-	33
2294076	-	50
2303450	-	143
2305908	-	40
2307203	-	400
2307651	-	295
2307777	-	245
2309166	-	275
2311292	-	108
2313060	-	1787
2313132	-	161
2313266	-	80
2313944	-	23
2314293	-	37
2314894	-	46
2315128	-	239
2317093	-	381
2319466	-	15
2319995	-	41
2320761	-	156
2320821	-	37
2320832	-	24
2321433	-	29
2325380	-	95
2325730	-	123
2325884	-	42
2325889	-	37
2326390	-	266
2326817	-	284
2327708	-	68
2328256	-	31
2328326	-	18
2330139	-	33
2330976	-	49
2331892	-	37
2332167	-	22
2332530	-	27
2332891	-	66
2333130	-	16
2334008	-	3814
2334602	-	134
2335030	-	107
2336457	-	74
2337076	-	66
2337699	-	558
2337750	-	504
2338000	-	84
2338614	-	163
2338647	-	204
2339167	-	79
2340593	-	217
2340829	-	23
2340899	-	34
2342359	-	64
2343263	-	18
2343963	-	59
2344258	-	21
2344631	-	11
2346167	-	33
2346727	-	33
2347332	-	34
2349335	-	1691
2349336	-	611
2353325	-	4989
2353325	-	3654
2353574	-	42
2355209	-	98
2356685	-	573
2358274	-	84
2358493	-	100
2358886	-	19
2359821	-	432
2364247	-	100
2364789	-	563
2365376	-	371
2365383	-	54
2366411	-	55
2368433	-	109
2368455	-	48
2368811	-	29
2369310	-	98
2370865	-	2181
2371440	-	62
2372430	-	193
2372618	-	22
2373531	-	31
2374352	-	1987
2374359	-	88
2374391	-	80
2375392	-	68
2376337	-	713
2377595	-	40
2378320	-	110
2379782	-	470
2380007	-	24
2380934	-	71
2381014	-	46
2381028	-	123
2381396	-	69
2381785	-	22
2384226	-	38
2386079	-	371
2386086	-	34
2388323	-	39
2388394	-	88
2388576	-	33
2389954	-	66
2390137	-	52
2390243	-	18
2391197	-	221
2392467	-	125
2393325	-	606
2393372	-	18
2395248	-	525
2395302	-	189
2397215	-	6032
2397224	-	116
2400386	-	48
2401735	-	125
2402727	-	608
2403200	-	21
2404556	-	788
2405540	-	283
2405553	-	326
2406026	-	1110
2406849	-	1025
2408337	-	97
2409633	-	1032
2411360	-	41
2413424	-	55
2414420	-	31
2415178	-	772
2415952	-	43
2416094	-	28
2416713	-	50
2417751	-	80
2420608	-	79
2423176	-	1915
2424855	-	437
2424910	-	239
2424932	-	37
2425704	-	84
2425713	-	18
2425827	-	29
2427821	-	38
2429173	-	28
		
2429909	-	184
2430188	-	42
2430879	-	22
2431429	-	31
2432050	-	1786
2432089	-	353
2432844	-	58
2433481	-	72
2434663	-	556
2435442	-	337
2437858	-	392
2438383	-	139
2438906	-	36
2440270	-	45
2441728	-	328
2442325	-	48
2443216	-	35
2443279	-	28
2445370	-	1197
2445426	-	856
2446005	-	67
2446055	-	84
2447577	-	777
2447608	-	265
2448002	-	282
2448886	-	34
2449373	-	68
2449450	-	74
2450547	-	271
2451158	-	26
2453333	-	1844
2453456	-	693
2453750	-	88
2454715	-	20
2456137	-	25
2456751	-	253
2457260	-	59
2457406	-	34
2457500	-	31
2458246	-	18
2459301	-	81
2459311	-	16
2460326	-	103
2460961	-	41
2461126	-	21
2462318	-	47
2463150	-	729
2463698	-	42
2464844	-	2201
2465815	-	40
2466659	-	76
2467329	-	42
2467648	-	163
2468070	-	213
2468513	-	164
2469391	-	3862
2469577	-	796
2470065	-	30
2470544	-	41
2471364	-	78
2473397	-	331
2474058	-	19
2474678	-	592
2474925	-	358
2475475	-	52
2475981	-	227
2477157	-	319
2478713	-	298
2481748	-	604
2481860	-	35
2485104	-	62
2486233	-	44
2486772	-	51
2487486	-	56
2488357	-	61
2488782	-	27
2489963	-	21
2490909	-	20
2491520	-	54
2492355	-	724
2493750	-	971
2493887	-	39
2494042	-	17
2495402	-	112
2497025	-	492
2498381	-	144
2498383	-	89
2499398	-	58
2500827	-	20294
2501123	-	38
2502799	-	17
2504031	-	26
2505663	-	184
2506710	-	55
2507346	-	29
2508861	-	37
2509383	-	16
2510550	-	1361
2511659	-	513
2512292	-	446
2513604	-	42
2514345	-	45
2516416	-	58
2516618	-	14
2516682	-	36
2517749	-	46
2520703	-	28
2520753	-	85
2520984	-	22
2525368	-	38
2525749	-	23
2529395	-	276
2529963	-	2052
2530517	-	31
2532226	-	59
2532310	-	41
2535081	-	17
2535562	-	68
2537637	-	70
2538321	-	160
2538666	-	188
2541696	-	39
2543279	-	17
2544315	-	45
2544490	-	33
2545134	-	35
2545596	-	56
2546716	-	78
2547098	-	25
2549798	-	15
2551013	-	46
2551459	-	54
2551683	-	47
2553182	-	15
2554505	-	57
2555487	-	66
2555887	-	23
2557191	-	14
2557733	-	102
2559616	-	85
2560000	-	25
2560697	-	93
2561403	-	18
2561707	-	24
2562188	-	56
2562302	-	27
2562354	-	45
2562753	-	37
2563358	-	45
2563538	-	79
2564545	-	34
2565121	-	91
2565319	-	27
2565525	-	18
2567852	-	192
2568118	-	129
2568239	-	30
2568533	-	22
2570415	-	52
2571400	-	120
2572035	-	416
2572892	-	83
2572907	-	35
2575613	-	153
2576741	-	30
2578005	-	252
2578596	-	97
2578655	-	44
2579186	-	242
2579297	-	144
2580338	-	332
2581017	-	61
2581576	-	46
2582035	-	597
2584645	-	101
2584976	-	57
2585012	-	84
2585916	-	554
2585995	-	36
2587311	-	54
2587594	-	25
2588814	-	160
2591182	-	41
2594426	-	33
2594952	-	117
2596221	-	160
2597920	-	49
2597997	-	60
2598491	-	45
2599328	-	30
2599912	-	579
2599955	-	25
2600680	-	70
2600706	-	26
2600733	-	38
2601108	-	27
2602455	-	71
2603509	-	579
2603635	-	260
2604185	-	27
2604233	-	41
2604743	-	30
2605077	-	17
2605979	-	15
2607002	-	29
2607486	-	78
2608367	-	85
2608923	-	36
2609209	-	43
2609688	-	29
2611514	-	134
2611727	-	65
2612507	-	29
2613090	-	68
2614113	-	190
2614155	-	22
2615129	-	25
2615505	-	19
2617095	-	12
2618981	-	603
2619525	-	94
2619528	-	100
2622462	-	220
2623763	-	241
2624433	-	146
2624629	-	39
2624947	-	88
2626205	-	587
2627056	-	1292
2628244	-	22
2630386	-	150
2632134	-	75
2633374	-	239
2634180	-	329
2636576	-	59
2636975	-	154
2637329	-	177
2637753	-	100
2639560	-	204
2640056	-	28
2641128	-	112
2641175	-	52
2641378	-	34
2641611	-	29
2642687	-	76
2642965	-	95
2643484	-	72
2643976	-	113
2644268	-	130
2646296	-	15
2648375	-	100
2648631	-	45
2648918	-	80
2650046	-	675
2650938	-	34
2651568	-	36
2653137	-	171
2653997	-	70
2654101	-	323
2654552	-	49
2655140	-	501
2655268	-	23
2656166	-	3338
2657460	-	51
2658419	-	20
2660329	-	252
2660446	-	25
2661127	-	21
2664365	-	112
2664812	-	208
2664933	-	19
2666727	-	64
2669033	-	43
2672215	-	23
2672397	-	16
2675872	-	168
2675883	-	820
2676446	-	22
2678060	-	41
2680015	-	49
2680022	-	1030
2680809	-	57
2681034	-	31
2681474	-	66
2682318	-	27
2683197	-	272
2683487	-	141
2683760	-	54
2684323	-	84
2684442	-	32
2686631	-	23
2689169	-	106
2689787	-	20
2690768	-	14
2691065	-	53
2691856	-	31
2695182	-	47
2695609	-	31
2697095	-	78
2697924	-	360
		
2698251	-	98
2698853	-	191
2699621	-	25
2702235	-	25
2703176	-	135
2704090	-	246
2704476	-	930
2706041	-	127
2706185	-	39
2706554	-	83
2706631	-	26
2708090	-	19
2709966	-	166
2710438	-	1065
2711329	-	94
2711913	-	70
2712115	-	42
2712653	-	237
2712975	-	633
2713465	-	33
2713980	-	71
2715342	-	129
2715377	-	50
2716506	-	129
2717636	-	23
2718498	-	33
2718842	-	169
2718893	-	24
2719165	-	95
2721368	-	24
2722190	-	34
2725487	-	166
2725655	-	15
2726168	-	27
2726304	-	33
2726811	-	34
2727613	-	91
2727622	-	53
2728502	-	1811
2729025	-	33
2731271	-	75
2731404	-	38
2732249	-	23
2732296	-	45
2732486	-	28
2732607	-	66
2732809	-	24
2734706	-	23
2735613	-	45
2736078	-	83
2736844	-	208
2740505	-	2838
2741330	-	40
2743029	-	19
2743554	-	42
2743906	-	44
2745236	-	609
2745734	-	691
2746286	-	33
2748782	-	26
2750265	-	293
2750731	-	63
2751582	-	222
		
2752446	-	415
2752760	-	33
2752945	-	35
2752978	-	30
2753733	-	15
2754505	-	46
2755684	-	55
2756757	-	1052
2756817	-	810
2757441	-	36
2759551	-	1313
2759641	-	1105
2759764	-	428
2760155	-	56
2760909	-	19
2761390	-	32
2761492	-	35
		
2763823	-	633
2765563	-	138
2765571	-	27
2765583	-	13
2766351	-	484
2767033	-	50
2767327	-	17
2768160	-	152
2768935	-	280
2769080	-	28
2772350	-	646
2773054	-	217
2773971	-	26
2774992	-	67
2775255	-	39
2775589	-	46
2777612	-	55
2780188	-	52
2780434	-	14
2781119	-	25
2782365	-	113
2784089	-	631
2784686	-	241
2785379	-	23
2785930	-	30
2787593	-	73
2789343	-	60
2791219	-	19
2792600	-	377
2792604	-	717
2793671	-	63
2794081	-	154
2795598	-	52
2799875	-	32
2800798	-	80
2801163	-	49
2804230	-	35
2810295	-	359
2811381	-	74
2812284	-	658
2812622	-	168
2813973	-	66
2814915	-	853
2816297	-	118
2816988	-	270
2817246	-	47
2818085	-	30
2819050	-	34
2819925	-	206
2820958	-	60
2821660	-	159
2824603	-	70
2825583	-	15
2827099	-	129
2827265	-	13
2827864	-	61
2828259	-	22
2828555	-	23
2828568	-	13
2832553	-	25
2833765	-	452
2833795	-	63
2835389	-	441
2836671	-	32
2837680	-	311
2838393	-	25
2838688	-	35
2839940	-	205
2845348	-	13
2849508	-	2196
2850584	-	762
2851077	-	70
2852624	-	23
