sense_transcription_unit_start_site	sense_transcription_unit_end_site	sense_transcription_unit_direction	antisense_transcript_start_site	antisense_transcript_end_site	antisense_transcript_direction	antisense_transcript_end_location_information	antisense_transcript_length(WT_log)
2219567	2220883	+	2220348	2220689	-	end_in_gene	341
2231034	2231655	+	2230997	2231446	-	end_as_asRNA_for_next_TU	449
2231660	2232278	+	2231971	2232496	-	end_in_gene	525
2238989	2242943	+	2241952	2242340	-	end_in_gene	388
2245217	2248561	+	2246861	2247439	-	end_in_gene	578
2252010	2256082	+	2253719	2254139	-	end_in_gene	420
2259334	2261814	+	2259801	2260170	-	end_in_gene	369
2263398	2266419	+	2263398	2263939	-	end_coding_next_gene	541
2263398	2266419	+	2264244	2264908	-	end_in_gene	664
2279113	2280238	+	2279135	2279477	-	end_coding_next_gene	342
2281302	2282745	+	2282137	2282467	-	end_in_gene	330
2335048	2337156	+	2336705	2337076	-	end_in_gene	371
2337166	2338063	+	2337250	2337750	-	end_as_asRNA_for_next_TU	500
2339451	2344331	+	2342087	2342359	-	end_in_gene	272
2339451	2344331	+	2343438	2343963	-	end_in_gene	525
2358397	2360169	+	2359293	2359821	-	end_in_gene	528
2364807	2366950	+	2364927	2365383	-	end_in_gene	456
2364807	2366950	+	2365925	2366411	-	end_in_gene	486
2373842	2374459	+	2373950	2374359	-	end_in_gene	409
2388520	2390306	+	2389487	2390137	-	end_in_gene	650
2434784	2437444	+	2435048	2435442	-	end_in_gene	394
2437913	2439280	+	2438002	2438383	-	end_in_gene	381
2437913	2439280	+	2438411	2438906	-	end_in_gene	495
2448120	2449991	+	2448953	2449450	-	end_in_gene	497
2456909	2461481	+	2459017	2459301	-	end_in_gene	284
2456909	2461481	+	2459917	2460326	-	end_in_gene	409
2468148	2468929	+	2468148	2468513	-	end_coding_next_gene	365
2470630	2473283	+	2470975	2471364	-	end_in_gene	389
2473288	2474862	+	2472879	2473397	-	end_as_asRNA_for_next_TU	518
2473288	2474862	+	2474357	2474678	-	end_in_gene	321
2478346	2479921	+	2478326	2478713	-	end_as_asRNA_for_next_TU	387
2484592	2485271	+	2484729	2485104	-	end_in_gene	375
2497686	2498782	+	2497888	2498383	-	end_in_gene	495
2498787	2500833	+	2498989	2499398	-	end_in_gene	409
2498787	2500833	+	2500387	2500827	-	end_in_gene	440
2500931	2501642	+	2500832	2501123	-	end_as_asRNA_for_next_TU	291
2506286	2508432	+	2506296	2506710	-	end_coding_next_gene	414
2512406	2516785	+	2513901	2514345	-	end_in_gene	444
2512406	2516785	+	2516112	2516416	-	end_in_gene	304
2516795	2523242	+	2517303	2517749	-	end_in_gene	446
2516795	2523242	+	2520182	2520753	-	end_in_gene	571
2551530	2554938	+	2553942	2554505	-	end_in_gene	563
2557483	2558877	+	2557327	2557733	-	end_as_asRNA_for_next_TU	406
2559713	2561476	+	2560244	2560697	-	end_in_gene	453
2561486	2562557	+	2561805	2562188	-	end_in_gene	383
2566777	2568100	+	2567504	2567852	-	end_in_gene	348
2568110	2569082	+	2567857	2568118	-	end_as_asRNA_for_next_TU	261
2583055	2584914	+	2584328	2584645	-	end_in_gene	317
2583055	2584914	+	2584686	2585012	-	end_in_gene	326
2599998	2600682	+	2600183	2600680	-	end_in_gene	497
2610793	2611869	+	2610909	2611514	-	end_in_gene	605
2623831	2625876	+	2624438	2624947	-	end_in_gene	509
2635638	2637136	+	2636587	2636975	-	end_in_gene	388
2635638	2637136	+	2637005	2637329	-	end_in_gene	324
2687859	2692171	+	2688774	2689169	-	end_in_gene	395
2698425	2700524	+	2698490	2698853	-	end_coding_next_gene	363
2704707	2706494	+	2705618	2706041	-	end_in_gene	423
2765573	2766859	+	2765975	2766351	-	end_in_gene	376
2773178	2775283	+	2774624	2775255	-	end_in_gene	631
2827167	2828025	+	2827383	2827864	-	end_in_gene	481
2864437	2868585	+	2866276	2866764	-	end_in_gene	488
2881416	2882290	+	2881537	2882064	-	end_in_gene	527
2884441	2889794	+	2884540	2885034	-	end_as_asRNA_for_next_TU	494
2884441	2889794	+	2886233	2886572	-	end_in_gene	339
2884441	2889794	+	2889351	2889792	-	end_in_gene	441
2897966	2898806	+	2898422	2898787	-	end_in_gene	365
2900928	2902509	+	2901226	2901777	-	end_in_gene	551
2925502	2926304	+	2925582	2926026	-	end_coding_next_gene	444
2928152	2930070	+	2929441	2930059	-	end_in_gene	618
2934963	2936810	+	2935607	2935883	-	end_in_gene	276
2954890	2958909	+	2955104	2955562	-	end_in_gene	458
2965905	2968533	+	2967891	2968295	-	end_in_gene	404
2969763	2973483	+	2971079	2971495	-	end_in_gene	416
2981865	2982570	+	2981577	2982097	-	end_as_asRNA_for_next_TU	520
2982575	2984709	+	2982727	2983087	-	end_as_asRNA_for_next_TU	360
2987710	2990706	+	2989981	2990375	-	end_in_gene	394
3020583	3021548	+	3020762	3021179	-	end_in_gene	417
3023560	3024270	+	3023806	3024072	-	end_in_gene	266
3025442	3027908	+	3025711	3026344	-	end_in_gene	633
3025442	3027908	+	3027215	3027644	-	end_in_gene	429
3034739	3036131	+	3034732	3035011	-	end_as_asRNA_for_next_TU	279
3034739	3036131	+	3035054	3035676	-	end_in_gene	622
3062464	3064515	+	3062849	3063209	-	end_in_gene	360
3062464	3064515	+	3063757	3064306	-	end_in_gene	549
3074646	3075438	+	3074647	3074917	-	end_coding_next_gene	270
3095138	3096959	+	3095626	3096042	-	end_coding_next_gene	416
3095138	3096959	+	3095990	3096427	-	end_in_gene	437
3112877	3114782	+	3113728	3114125	-	end_in_gene	397
3162244	3164152	+	3162281	3162535	-	end_coding_next_gene	254
3164162	3166657	+	3164167	3164504	-	end_as_asRNA_for_next_TU	337
3183860	3187671	+	3185065	3185648	-	end_in_gene	583
3183860	3187671	+	3186191	3186644	-	end_in_gene	453
3243378	3258265	+	3243099	3243462	-	end_as_asRNA_for_next_TU	363
3243378	3258265	+	3250551	3251029	-	end_in_gene	478
3243378	3258265	+	3255231	3255745	-	end_in_gene	514
3258275	3267425	+	3266830	3267147	-	end_in_gene	317
3267435	3276380	+	3268397	3268722	-	end_in_gene	325
3267435	3276380	+	3271212	3271574	-	end_in_gene	362
3267435	3276380	+	3273788	3274281	-	end_in_gene	493
3283345	3287983	+	3284940	3285372	-	end_in_gene	432
3283345	3287983	+	3285880	3286278	-	end_in_gene	398
3283345	3287983	+	3286493	3287204	-	end_in_gene	711
3287223	3290624	+	3287993	3288346	-	end_in_gene	353
3287223	3290624	+	3290041	3290503	-	end_in_gene	462
3304438	3305279	+	3304438	3304646	-	end_coding_next_gene	208
3308678	3310645	+	3309631	3310120	-	end_in_gene	489
3315241	3318330	+	3315510	3316146	-	end_in_gene	636
3351279	3352458	+	3351637	3352031	-	end_in_gene	394
3351279	3352458	+	3352040	3352304	-	end_in_gene	264
3419463	3421102	+	3419780	3420393	-	end_in_gene	613
3425498	3429812	+	3425513	3425835	-	end_coding_next_gene	322
3425498	3429812	+	3426041	3426488	-	end_in_gene	447
3433658	3435785	+	3434896	3435408	-	end_in_gene	512
3448501	3451761	+	3449345	3449841	-	end_in_gene	496
3451766	3457635	+	3455450	3455806	-	end_in_gene	356
3463967	3464534	+	3463992	3464437	-	end_coding_next_gene	445
3467409	3467994	+	3467962	3468366	-	end_in_gene	404
3477057	3477353	+	3477057	3477344	-	end_coding_next_gene	287
3477363	3482701	+	3481145	3481454	-	end_in_gene	309
3482706	3488092	+	3482098	3482849	-	end_as_asRNA_for_next_TU	751
3482706	3488092	+	3486576	3486910	-	end_in_gene	334
3488102	3490463	+	3488631	3489159	-	end_in_gene	528
3492132	3494962	+	3492498	3492892	-	end_in_gene	394
3501164	3502932	+	3501654	3502079	-	end_in_gene	425
3503390	3505322	+	3504291	3504699	-	end_in_gene	408
3503390	3505322	+	3504787	3505277	-	end_in_gene	490
3511586	3516511	+	3512501	3512799	-	end_in_gene	298
3536061	3539833	+	3537044	3537387	-	end_in_gene	343
3542135	3544331	+	3543735	3544136	-	end_in_gene	401
3545444	3549035	+	3545453	3545833	-	end_coding_next_gene	380
3545444	3549035	+	3546077	3546533	-	end_in_gene	456
3545444	3549035	+	3546960	3547395	-	end_in_gene	435
3591626	3593791	+	3592047	3592503	-	end_in_gene	456
3599848	3601003	+	3599848	3600218	-	end_coding_next_gene	370
3650185	3652666	+	3651439	3651908	-	end_in_gene	469
3676063	3682097	+	3677030	3677450	-	end_in_gene	420
3676063	3682097	+	3681649	3682027	-	end_in_gene	378
3698292	3699565	+	3698214	3698626	-	end_as_asRNA_for_next_TU	412
3704155	3707803	+	3707051	3707373	-	end_in_gene	322
3710604	3711836	+	3711065	3711542	-	end_in_gene	477
3711846	3713555	+	3712144	3712531	-	end_in_gene	387
3714479	3715942	+	3715068	3715574	-	end_in_gene	506
3717289	3720098	+	3717934	3718362	-	end_in_gene	428
3726142	3729525	+	3727303	3727644	-	end_in_gene	341
3770909	3772811	+	3772280	3772735	-	end_in_gene	455
3786494	3787844	+	3786193	3786637	-	end_as_asRNA_for_next_TU	444
3805045	3807744	+	3805045	3805565	-	end_coding_next_gene	520
3816309	3817395	+	3817018	3817360	-	end_in_gene	342
3846777	3847812	+	3847455	3847818	-	end_in_gene	363
3857577	3858429	+	3857311	3857755	-	end_as_asRNA_for_next_TU	444
3869284	3871253	+	3870623	3870999	-	end_in_gene	376
3891009	3892540	+	3891448	3891947	-	end_in_gene	499
3891009	3892540	+	3892062	3892494	-	end_in_gene	432
3894137	3899078	+	3897347	3897733	-	end_in_gene	386
3903184	3904791	+	3903815	3904282	-	end_in_gene	467
3908251	3909995	+	3909054	3909565	-	end_in_gene	511
3922552	3924848	+	3922893	3923256	-	end_in_gene	363
3957606	3958265	+	3957606	3957824	-	end_coding_next_gene	218
3958275	3960199	+	3959203	3959583	-	end_in_gene	380
3975548	3978172	+	3976654	3976995	-	end_in_gene	341
3978182	3979668	+	3978924	3979332	-	end_in_gene	408
3987023	3987551	+	3987048	3987408	-	end_as_asRNA_for_next_TU	360
4025962	4029137	+	4025962	4026403	-	end_coding_next_gene	441
4025962	4029137	+	4027728	4028145	-	end_in_gene	417
4071859	4072836	+	4071594	4072020	-	end_as_asRNA_for_next_TU	426
4075866	4078053	+	4077109	4077474	-	end_in_gene	365
4082986	4084622	+	4082986	4083199	-	end_coding_next_gene	213
4107970	4109951	+	4108973	4109355	-	end_in_gene	382
4107970	4109951	+	4109514	4109886	-	end_in_gene	372
4116195	4116563	+	4116197	4116515	-	end_coding_next_gene	318
4119431	4121361	+	4119967	4120359	-	end_in_gene	392
4124595	4126706	+	4125565	4125975	-	end_in_gene	410
4130535	4136290	+	4130624	4131025	-	end_in_gene	401
4130535	4136290	+	4132598	4132981	-	end_in_gene	383
4162520	4165163	+	4162780	4163199	-	end_in_gene	419
4170917	4174333	+	4171089	4171526	-	end_in_gene	437
4170917	4174333	+	4171863	4172250	-	end_in_gene	387
4170917	4174333	+	4173002	4173552	-	end_in_gene	550
4174343	4178272	+	4173798	4174378	-	end_as_asRNA_for_next_TU	580
4178277	4180848	+	4179351	4180008	-	end_in_gene	657
4186258	4187854	+	4187493	4187792	-	end_in_gene	299
4187864	4189453	+	4187797	4188135	-	end_as_asRNA_for_next_TU	338
4225163	4227066	+	4225621	4226059	-	end_coding_next_gene	438
4231455	4232542	+	4231039	4231501	-	end_as_asRNA_for_next_TU	462
4235956	4243401	+	4236374	4236885	-	end_in_gene	511
4243411	4249218	+	4246670	4246919	-	end_in_gene	249
4249228	4251130	+	4249854	4250636	-	end_in_gene	782
4251140	4254548	+	4252106	4252467	-	end_in_gene	361
4273838	4274929	+	4273849	4274126	-	end_in_gene	277
4273838	4274929	+	4274097	4274515	-	end_in_gene	418
4274934	4275719	+	4275266	4275712	-	end_in_gene	446
4275729	4278562	+	4276954	4277342	-	end_in_gene	388
4275729	4278562	+	4277714	4278158	-	end_in_gene	444
4286525	4288428	+	4286599	4287102	-	end_in_gene	503
4309224	4311177	+	4309362	4309740	-	end_in_gene	378
4318576	4319996	+	4319467	4320039	-	end_in_gene	572
4318576	4319996	+	4320167	4320712	-	end_in_gene	545
4336373	4338339	+	4336531	4336863	-	end_in_gene	332
4345217	4350785	+	4344884	4345237	-	end_as_asRNA_for_next_TU	353
4345217	4350785	+	4345035	4345651	-	end_in_gene	616
4350790	4352375	+	4351312	4351657	-	end_in_gene	345
4352380	4356838	+	4354958	4355388	-	end_in_gene	430
4393627	4398511	+	4395035	4395580	-	end_in_gene	545
4393627	4398511	+	4397087	4397737	-	end_in_gene	650
4398521	4400976	+	4399666	4400152	-	end_in_gene	486
4400986	4401862	+	4400745	4401068	-	end_as_asRNA_for_next_TU	323
1	1618	+	37	437	-	end_in_gene	400
1935	3840	+	1878	2309	-	end_as_asRNA_for_next_TU	431
1935	3840	+	2773	3056	-	end_in_gene	283
68417	72261	+	70284	70713	-	end_in_gene	429
80621	83992	+	80845	81095	-	end_in_gene	250
80621	83992	+	81463	81884	-	end_in_gene	421
88164	89530	+	88813	89155	-	end_in_gene	342
92203	99614	+	97039	97321	-	end_in_gene	282
105321	117701	+	117080	117608	-	end_in_gene	528
122314	123967	+	122768	123207	-	end_in_gene	439
124336	125630	+	125247	125604	-	end_in_gene	357
133843	136136	+	134721	134978	-	end_in_gene	257
165292	166898	+	166345	166661	-	end_in_gene	316
196733	206637	+	202403	202826	-	end_in_gene	423
196733	206637	+	202748	203047	-	end_in_gene	299
219427	219984	+	219183	219743	-	end_as_asRNA_for_next_TU	560
221817	223568	+	221948	222390	-	end_in_gene	442
223578	224712	+	223345	223650	-	end_as_asRNA_for_next_TU	305
236550	237882	+	236550	236760	-	end_coding_next_gene	210
260924	261473	+	261045	261423	-	end_in_gene	378
309699	310284	+	309845	310264	-	end_in_gene	419
363252	364518	+	363985	364370	-	end_in_gene	385
418842	419708	+	418336	418889	-	end_as_asRNA_for_next_TU	553
474943	476356	+	475789	476130	-	end_in_gene	341
483833	489880	+	484412	484953	-	end_in_gene	541
501054	503493	+	502462	502753	-	end_in_gene	291
542163	545368	+	544764	545235	-	end_in_gene	471
570542	571745	+	571224	571594	-	end_in_gene	370
590098	591039	+	590520	590807	-	end_in_gene	287
600400	602288	+	600990	601339	-	end_in_gene	349
610125	611165	+	609807	610216	-	end_as_asRNA_for_next_TU	409
612911	614319	+	612949	613326	-	end_in_gene	377
642892	644393	+	643302	643832	-	end_in_gene	530
644403	645460	+	644506	644837	-	end_in_gene	331
733368	736292	+	734024	734416	-	end_in_gene	392
769795	771477	+	770963	771464	-	end_in_gene	501
781405	784746	+	784446	784723	-	end_in_gene	277
794742	798671	+	794696	795039	-	end_as_asRNA_for_next_TU	343
794742	798671	+	798154	798653	-	end_in_gene	499
811231	817532	+	814653	814979	-	end_in_gene	326
811231	817532	+	816589	816838	-	end_in_gene	249
824718	829824	+	825353	825893	-	end_in_gene	540
881462	882452	+	881462	881716	-	end_coding_next_gene	254
937596	940449	+	937943	938242	-	end_in_gene	299
1024404	1025315	+	1024849	1025207	-	end_in_gene	358
1074084	1074434	+	1073556	1074109	-	end_as_asRNA_for_next_TU	553
1101784	1106399	+	1106073	1106352	-	end_in_gene	279
1127959	1130154	+	1127653	1128057	-	end_as_asRNA_for_next_TU	404
1180646	1185736	+	1183624	1183872	-	end_in_gene	248
1287129	1296136	+	1288924	1289531	-	end_in_gene	607
1316324	1321293	+	1320880	1321264	-	end_in_gene	384
1364419	1365310	+	1364445	1364936	-	end_in_gene	491
1370926	1371768	+	1371399	1371772	-	end_in_gene	373
1445064	1445495	+	1445073	1445425	-	end_in_gene	352
1446385	1453008	+	1449461	1449902	-	end_in_gene	441
1526618	1531344	+	1530832	1531329	-	end_in_gene	497
1552603	1561386	+	1557416	1557658	-	end_in_gene	242
1576753	1579594	+	1576858	1577274	-	end_in_gene	416
1608056	1611404	+	1610783	1611081	-	end_in_gene	298
1638230	1639670	+	1639038	1639668	-	end_in_gene	630
1735514	1736291	+	1735694	1736006	-	end_in_gene	312
1736296	1741208	+	1737875	1738223	-	end_in_gene	348
1736296	1741208	+	1740401	1740736	-	end_in_gene	335
1747698	1751293	+	1747357	1747745	-	end_as_asRNA_for_next_TU	388
1799572	1807295	+	1799764	1800102	-	end_in_gene	338
1830672	1833495	+	1831291	1831728	-	end_in_gene	437
1858600	1862344	+	1859029	1859771	-	end_in_gene	742
1887564	1891194	+	1887649	1888014	-	end_in_gene	365
1901054	1906321	+	1901361	1901779	-	end_in_gene	418
1973642	1977325	+	1976579	1976987	-	end_in_gene	408
2057462	2061156	+	2060946	2061180	-	end_in_gene	234
2069087	2071903	+	2069914	2070443	-	end_in_gene	529
2075616	2078926	+	2077512	2077954	-	end_in_gene	442
2096767	2101648	+	2099255	2099573	-	end_in_gene	318
2096767	2101648	+	2101304	2101647	-	end_in_gene	343
2124212	2124976	+	2124695	2125096	-	end_in_gene	401
2160434	2162929	+	2160712	2160982	-	end_in_gene	270
2174072	2176547	+	2175867	2176357	-	end_in_gene	490
2201284	2203015	+	2201725	2202118	-	end_in_gene	393
2226219	2227906	+	2226803	2227088	-	end_in_gene	285
2252010	2256082	+	2252027	2252450	-	end_coding_next_gene	423
2263398	2266419	+	2263398	2263635	-	end_coding_next_gene	237
2335048	2337156	+	2335953	2336457	-	end_in_gene	504
2339451	2344331	+	2340189	2340593	-	end_in_gene	404
2364807	2366950	+	2365000	2365376	-	end_in_gene	376
2366955	2368952	+	2368072	2368455	-	end_in_gene	383
2373842	2374459	+	2373963	2374391	-	end_in_gene	428
2381079	2382487	+	2381111	2381396	-	end_in_gene	285
2388520	2390306	+	2389554	2389954	-	end_in_gene	400
2432243	2432912	+	2432414	2432844	-	end_in_gene	430
2432917	2433629	+	2433085	2433481	-	end_in_gene	396
2497686	2498782	+	2497940	2498381	-	end_in_gene	441
2512406	2516785	+	2516101	2516682	-	end_in_gene	581
2559713	2561476	+	2559713	2560000	-	end_coding_next_gene	287
2562562	2564029	+	2563150	2563538	-	end_in_gene	388
2604329	2606708	+	2604393	2604743	-	end_in_gene	350
2623831	2625876	+	2624001	2624433	-	end_in_gene	432
2680344	2682015	+	2680691	2681474	-	end_in_gene	783
2773178	2775283	+	2774631	2774992	-	end_in_gene	361
2860462	2861148	+	2860647	2861083	-	end_in_gene	436
2864437	2868585	+	2865566	2865830	-	end_in_gene	264
2934963	2936810	+	2935618	2936063	-	end_in_gene	445
3017717	3019814	+	3018333	3018873	-	end_in_gene	540
3017717	3019814	+	3019399	3019768	-	end_in_gene	369
3022443	3023517	+	3022596	3022880	-	end_in_gene	284
3062464	3064515	+	3063898	3064295	-	end_in_gene	397
3166662	3168583	+	3166708	3167070	-	end_in_gene	362
3243378	3258265	+	3254250	3254769	-	end_in_gene	519
3267435	3276380	+	3275655	3276053	-	end_in_gene	398
3283345	3287983	+	3286575	3286848	-	end_in_gene	273
3315241	3318330	+	3317663	3318014	-	end_in_gene	351
3339885	3343176	+	3341084	3341422	-	end_in_gene	338
3355109	3357225	+	3356427	3356943	-	end_in_gene	516
3430358	3431827	+	3431151	3431470	-	end_in_gene	319
3446009	3447391	+	3446832	3447262	-	end_in_gene	430
3482706	3488092	+	3482889	3483210	-	end_in_gene	321
3482706	3488092	+	3485644	3485926	-	end_in_gene	282
3488102	3490463	+	3489892	3490378	-	end_in_gene	486
3505327	3508054	+	3507106	3507470	-	end_in_gene	364
3545444	3549035	+	3545453	3545875	-	end_coding_next_gene	422
3595600	3596021	+	3594947	3595606	-	end_as_asRNA_for_next_TU	659
3611131	3611946	+	3611191	3611483	-	end_in_gene	292
3640540	3644885	+	3642478	3642885	-	end_in_gene	407
3653413	3656907	+	3655451	3656064	-	end_in_gene	613
3659875	3660638	+	3659992	3660423	-	end_in_gene	431
3662973	3664915	+	3664062	3664475	-	end_in_gene	413
3785082	3786484	+	3785978	3786291	-	end_in_gene	313
3800272	3804088	+	3801027	3801630	-	end_in_gene	603
3872796	3873606	+	3872796	3873030	-	end_coding_next_gene	234
3960209	3961969	+	3960967	3961343	-	end_in_gene	376
3975548	3978172	+	3977093	3977429	-	end_in_gene	336
3978182	3979668	+	3978311	3978544	-	end_in_gene	233
3998159	3999816	+	3998497	3998906	-	end_in_gene	409
4025962	4029137	+	4028750	4029137	-	end_in_gene	387
4034236	4036900	+	4035274	4035876	-	end_in_gene	602
4069337	4070681	+	4069803	4070185	-	end_in_gene	382
4124595	4126706	+	4125979	4126290	-	end_in_gene	311
4170407	4171499	+	4170574	4170898	-	end_in_gene	324
4178277	4180848	+	4179440	4179868	-	end_in_gene	428
4186258	4187854	+	4187278	4187623	-	end_in_gene	345
4209177	4209750	+	4209281	4209569	-	end_in_gene	288
4227076	4228829	+	4228475	4228821	-	end_in_gene	346
4228839	4231450	+	4228939	4229446	-	end_in_gene	507
4228839	4231450	+	4229341	4229933	-	end_in_gene	592
4228839	4231450	+	4230377	4230790	-	end_in_gene	413
4235956	4243401	+	4235707	4236184	-	end_as_asRNA_for_next_TU	477
4273838	4274929	+	4274529	4274901	-	end_in_gene	372
4299990	4301731	+	4299990	4300200	-	end_coding_next_gene	210
4299990	4301731	+	4300911	4301366	-	end_in_gene	455
4312921	4314244	+	4313194	4313948	-	end_in_gene	754
4341725	4342743	+	4341468	4341858	-	end_as_asRNA_for_next_TU	390
4352380	4356838	+	4353637	4354013	-	end_in_gene	376
4352380	4356838	+	4354342	4354652	-	end_in_gene	310
4393627	4398511	+	4396553	4397175	-	end_in_gene	622
4393627	4398511	+	4397394	4398000	-	end_in_gene	606
4398521	4400976	+	4399164	4399569	-	end_in_gene	405
79483	80232	+	80017	80402	-	end_in_gene	385
105321	117701	+	107308	107721	-	end_in_gene	413
587104	590088	+	587778	588147	-	end_in_gene	369
592717	593864	+	592849	593129	-	end_in_gene	280
669840	671989	+	670897	671160	-	end_in_gene	263
1097365	1101019	+	1097290	1097749	-	end_in_gene	459
1131487	1133325	+	1131730	1132186	-	end_in_gene	456
1512870	1517487	+	1514778	1515063	-	end_in_gene	285
1697362	1697985	+	1697477	1697977	-	end_in_gene	500
1699814	1703022	+	1702506	1702935	-	end_in_gene	429
1993160	1994668	+	1993932	1994454	-	end_in_gene	522
2117329	2119457	+	2117354	2117669	-	end_in_gene	315
2448120	2449991	+	2448990	2449373	-	end_in_gene	383
2550075	2551525	+	2550814	2551459	-	end_in_gene	645
2583055	2584914	+	2584709	2584976	-	end_in_gene	267
2687859	2692171	+	2690499	2691065	-	end_in_gene	566
2917822	2923199	+	2919157	2919609	-	end_in_gene	452
3430358	3431827	+	3431107	3431725	-	end_in_gene	618
3446009	3447391	+	3446841	3447322	-	end_in_gene	481
3503390	3505322	+	3504829	3505144	-	end_in_gene	315
3676063	3682097	+	3680045	3680365	-	end_in_gene	320
3805045	3807744	+	3805045	3805433	-	end_coding_next_gene	388
3805045	3807744	+	3805920	3806330	-	end_in_gene	410
3834971	3835442	+	3835039	3835367	-	end_in_gene	328
3857577	3858429	+	3857627	3858146	-	end_in_gene	519
4034236	4036900	+	4034987	4035562	-	end_in_gene	575
4130535	4136290	+	4134355	4134677	-	end_in_gene	322
4170917	4174333	+	4171157	4171503	-	end_in_gene	346
4251140	4254548	+	4254046	4254460	-	end_in_gene	414
4393627	4398511	+	4397409	4398051	-	end_in_gene	642
1	1618	+	1272	1774	-	end_in_gene	502
5183	11258	+	7038	7254	-	end_in_gene	216
5183	11258	+	10935	11188	-	end_in_gene	253
5183	11258	+	11217	11693	-	end_in_gene	476
33940	35706	+	34292	34667	-	end_in_gene	375
35716	39046	+	37506	38086	-	end_in_gene	580
35716	39046	+	38139	38592	-	end_in_gene	453
52810	58109	+	57208	57601	-	end_in_gene	393
88164	89530	+	89172	89504	-	end_in_gene	332
92203	99614	+	97593	97879	-	end_in_gene	286
105321	117701	+	112901	113213	-	end_in_gene	312
105321	117701	+	113721	114237	-	end_in_gene	516
133843	136136	+	134024	134379	-	end_in_gene	355
151073	154693	+	151132	151473	-	end_in_gene	341
163306	164700	+	163319	163809	-	end_in_gene	490
163306	164700	+	164046	164386	-	end_in_gene	340
170282	171203	+	170573	171164	-	end_in_gene	591
183579	186483	+	184524	185197	-	end_in_gene	673
194916	196681	+	195638	196284	-	end_in_gene	646
196733	206637	+	197761	198210	-	end_in_gene	449
196733	206637	+	199983	200277	-	end_in_gene	294
196733	206637	+	202831	203411	-	end_in_gene	580
196733	206637	+	204320	204679	-	end_in_gene	359
196733	206637	+	204756	205423	-	end_in_gene	667
208326	209691	+	208325	208733	-	end_as_asRNA_for_next_TU	408
214085	214957	+	214129	214578	-	end_in_gene	449
223578	224712	+	223355	223637	-	end_as_asRNA_for_next_TU	282
223578	224712	+	223986	224415	-	end_in_gene	429
226876	234502	+	227871	228184	-	end_in_gene	313
226876	234502	+	229108	229715	-	end_in_gene	607
226876	234502	+	230020	230441	-	end_in_gene	421
249630	251671	+	251275	251618	-	end_in_gene	343
295966	298106	+	296120	296563	-	end_in_gene	443
302866	305815	+	303013	303433	-	end_in_gene	420
302866	305815	+	305180	305537	-	end_in_gene	357
324567	326256	+	324744	325232	-	end_in_gene	488
340998	341949	+	341472	342075	-	end_in_gene	603
363252	364518	+	363079	363785	-	end_as_asRNA_for_next_TU	706
380522	382466	+	381509	381981	-	end_in_gene	472
387083	387878	+	387141	387495	-	end_in_gene	354
388582	390570	+	388377	389141	-	end_as_asRNA_for_next_TU	764
396168	397462	+	396440	396850	-	end_in_gene	410
400168	401863	+	400932	401305	-	end_in_gene	373
409311	414371	+	411233	411611	-	end_in_gene	378
409311	414371	+	411857	412280	-	end_in_gene	423
438791	441256	+	440093	440605	-	end_in_gene	512
442396	443058	+	442396	442714	-	end_coding_next_gene	318
462134	463390	+	462553	462997	-	end_in_gene	444
463395	466663	+	465694	466011	-	end_in_gene	317
483833	489880	+	484078	484480	-	end_in_gene	402
505054	506554	+	505063	505679	-	end_in_gene	616
518663	519593	+	518943	519398	-	end_in_gene	455
519603	522340	+	521846	522222	-	end_in_gene	376
542163	545368	+	543242	543569	-	end_in_gene	327
542163	545368	+	544464	544730	-	end_in_gene	266
551713	552607	+	551868	552312	-	end_in_gene	444
556408	557434	+	556408	556667	-	end_coding_next_gene	259
566487	567914	+	567052	567361	-	end_in_gene	309
571755	573039	+	572162	572736	-	end_in_gene	574
573840	575350	+	575082	575341	-	end_in_gene	259
587104	590088	+	588265	588650	-	end_in_gene	385
590098	591039	+	590134	590422	-	end_in_gene	288
590098	591039	+	590525	590985	-	end_in_gene	460
591450	592707	+	592287	592678	-	end_in_gene	391
592717	593864	+	593472	593869	-	end_in_gene	397
600400	602288	+	599809	600503	-	end_as_asRNA_for_next_TU	694
599851	600395	+	599933	600379	-	end_in_gene	446
602298	608052	+	607290	607667	-	end_in_gene	377
608719	610120	+	609046	609768	-	end_in_gene	722
612911	614319	+	613618	614035	-	end_in_gene	417
614838	619744	+	617574	617904	-	end_in_gene	330
645470	646291	+	645263	645685	-	end_as_asRNA_for_next_TU	422
649692	650400	+	649333	649752	-	end_as_asRNA_for_next_TU	419
658112	659447	+	658618	659055	-	end_in_gene	437
659452	660982	+	660360	660728	-	end_in_gene	368
731933	733363	+	732387	732813	-	end_in_gene	426
742593	748058	+	744338	744963	-	end_in_gene	625
750003	751529	+	750290	750927	-	end_coding_next_gene	637
750003	751529	+	751144	751526	-	end_in_gene	382
759597	767671	+	767130	767556	-	end_in_gene	426
786123	787081	+	786569	787047	-	end_in_gene	478
787955	789150	+	788340	788638	-	end_in_gene	298
791661	794732	+	793696	794003	-	end_in_gene	307
798676	800201	+	798740	799321	-	end_in_gene	581
800206	806232	+	802038	802783	-	end_in_gene	745
821510	822901	+	822276	822617	-	end_in_gene	341
824718	829824	+	825313	826043	-	end_in_gene	730
824718	829824	+	827800	828230	-	end_in_gene	430
831577	832423	+	831079	831606	-	end_as_asRNA_for_next_TU	527
